#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapI	23.84407	17.205412	14.10338	9.920952	117562	69536	146805	21436257
LapV	7.22855	5.209404	10.29663	7.225516	35640	50767	35678	5214887
LapC	5.89662	4.256185	8.86187	6.203905	29073	43693	34214	5001901
LapA	5.59259	4.029251	9.71412	6.803495	27574	47895	73810	10609312
LapG	3.10925	2.234557	4.10855	2.817002	15330	20257	24000	3470770
LapL	2.87661	2.070428	4.13958	2.844724	14183	20410	24687	3562083
GalP	1.66881	1.193677	0.49488	0.324249	8228	2440	8258	1197864
EutP	1.58890	1.143226	1.71506	1.151237	7834	8456	8371	1219201
PerC	1.39926	1.002611	1.07840	0.712033	6899	5317	10421	1482540
Peri	1.36255	0.975954	1.31956	0.876294	6718	6506	8801	1268357
PerS	1.23173	0.878951	1.15892	0.762502	6073	5714	9832	1393293
AmauC	1.21997	0.877475	1.19847	0.802992	6015	5909	8731	1255823
GalL	1.08854	0.779936	1.06867	0.710637	5367	5269	6100	883967
GalC	1.00518	0.721415	1.28751	0.857508	4956	6348	11304	1578923
