#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
GalC	10.41519	54.006896	7.56062	37.225258	375660	272700	648360	91232154
GalL	5.27192	27.281020	5.24525	25.717546	190150	189188	209866	30054177
EutP	4.30800	22.311352	5.62300	27.375149	155383	202813	163784	23466183
PerS	3.60367	18.529963	4.66549	22.623009	129979	168277	234514	32780813
AmauC	3.53780	18.183069	3.99515	19.236326	127603	144099	185435	26058152
LapL	3.33449	17.290535	6.45442	31.643116	120270	232801	215378	30533838
PerC	3.12983	16.128372	3.85381	18.526822	112888	139001	198692	27735054
Peri	2.84750	14.706815	4.61691	22.451825	102705	166525	142704	20258956
LapG	2.84639	14.765828	5.98697	29.332201	102665	215941	169102	24082143
GalP	2.62742	13.306009	1.41398	6.554707	94767	51000	95177	13361740
LapC	2.60216	13.579520	6.81515	33.629823	93856	245812	116625	16799544
LapI	2.24534	11.715878	6.78665	33.777530	80986	244784	137635	19766212
LapV	2.12826	11.060639	6.27329	31.087004	76763	226268	77097	11106303
LapA	2.11794	11.004753	7.02705	34.762353	76391	253455	284685	39713778
