#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapI	9.79455	25.770325	12.91822	33.244435	176029	232168	263879	38531459
LapC	8.94089	23.579483	11.29120	28.898672	160687	202927	190013	27837860
LapV	8.40874	22.130962	11.55783	29.646958	151123	207719	151353	22163291
LapA	6.54602	17.224642	11.35602	29.120808	117646	204092	314123	45330185
LapL	5.40314	14.184497	5.92055	14.962295	97106	106405	151513	21944950
LapG	3.62745	9.519198	5.46941	13.816495	65193	98297	105210	15266963
EutP	2.43093	6.390752	2.45435	6.084787	43689	44110	46493	6790651
GalP	1.95920	5.108845	0.80380	1.957400	35211	14446	35356	5127484
AmauC	1.94050	5.087020	1.75817	4.313827	34875	31598	48911	7041030
PerS	1.82082	4.764524	1.68266	4.128138	32724	30241	53451	7655951
GalC	1.78443	4.664270	1.92437	4.720309	32070	34585	66655	9384579
PerC	1.60860	4.208434	1.55285	3.784347	28910	27908	47375	6750389
Peri	1.48001	3.877316	1.70408	4.166640	26599	30626	35900	5196460
GalL	1.13498	2.969868	1.39277	3.399934	20398	25031	23768	3447157
