#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapI	10.05647	7.637032	12.96505	9.468316	52658	67888	78263	11291914
LapV	7.53233	5.697979	10.87404	7.910127	39441	56939	39502	5706366
LapC	7.22027	5.493051	10.73215	7.782861	37807	56196	45080	6533220
LapA	6.57190	4.982501	11.00887	7.985220	34412	57645	89502	12641590
LapL	2.88452	2.176858	5.19343	3.671286	15104	27194	28712	4060536
LapG	2.81061	2.127335	5.01200	3.547701	14717	26244	24934	3556693
EutP	2.14792	1.627891	2.50275	1.726471	11247	13105	11850	1710792
Peri	1.46690	1.099346	1.77609	1.199062	7681	9300	10353	1462364
AmauC	1.41476	1.061160	1.64947	1.108516	7408	8637	11401	1592936
GalP	1.28260	0.950022	0.67816	0.442833	6716	3551	6740	953074
GalL	1.26790	0.953832	1.30342	0.881791	6639	6825	7518	1074104
PerC	1.25739	0.943748	1.49822	1.013263	6584	7845	11651	1610761
PerS	1.13612	0.852681	1.36835	0.902302	5949	7165	10537	1452532
GalC	0.91707	0.686956	1.66990	1.136602	4802	8744	13546	1823558
