#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapI	11.13283	25.905671	12.79018	29.000330	176939	203280	259434	37851936
LapC	9.14843	21.304525	11.20569	25.342514	145400	178097	172918	25305138
LapV	9.05644	21.058945	11.71181	26.482383	143938	186141	144168	21091291
LapA	6.72712	15.658754	10.75117	24.290506	106917	170873	271197	39068886
LapL	4.03374	9.368321	5.32018	11.826115	64110	84556	109097	15772497
LapG	3.60709	8.363758	5.04277	11.188700	57329	80147	90246	13075735
EutP	2.28056	5.301562	2.21249	4.794990	36246	35164	38744	5651210
AmauC	1.72379	3.988788	1.48439	3.206513	27397	23592	38290	5502702
GalP	1.60626	3.693294	0.61774	1.309462	25529	9818	25641	3708645
PerC	1.45198	3.358285	1.34150	2.852164	23077	21321	36239	5144901
Peri	1.42575	3.302460	1.44097	3.065130	22660	22902	29834	4306726
PerS	1.41857	3.278553	1.37629	2.933305	22546	21874	37174	5291700
GalL	1.41681	3.270156	1.39743	2.997511	22518	22210	25977	3761591
GalC	1.29148	2.995523	1.82088	3.944457	20526	28940	49466	6939980
