#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapL	11.99609	10.718634	10.29395	8.800099	73789	63319	109199	15721376
LapG	5.84953	5.206119	7.43673	6.313819	35981	45744	51160	7349953
LapC	5.19160	4.643462	8.95809	7.679376	31934	55102	39000	5661313
LapV	4.88352	4.363489	8.94882	7.683670	30039	55045	30080	4369053
LapA	4.51741	4.026564	9.00068	7.690353	27787	55364	79730	11267700
LapI	4.22055	3.765512	9.24893	7.947837	25961	56891	40806	5896867
EutP	2.81592	2.497007	3.38542	2.823000	17321	20824	18368	2642344
GalL	1.99769	1.767993	2.26545	1.875026	12288	13935	13938	1999335
AmauC	1.97656	1.741335	2.23895	1.830208	12158	13772	18720	2635259
PerC	1.97266	1.739914	2.18904	1.787784	12134	13465	21065	2945474
Peri	1.95916	1.723164	2.57727	2.114289	12051	15853	16062	2277872
PerS	1.84390	1.627426	2.28691	1.874476	11342	14067	20391	2856837
GalC	1.68832	1.491989	2.67270	2.212268	10385	16440	26825	3704257
GalP	1.65759	1.440669	0.83579	0.667214	10196	5141	10231	1445038
