#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapC	10.05367	16.749168	12.09099	19.599744	113988	137087	133991	19657658
LapI	8.42330	14.025718	12.70300	20.675495	95503	144026	151345	22152941
LapV	8.24011	13.720822	11.83821	19.219361	93426	134221	93635	13751090
LapA	7.99157	13.303283	11.79305	19.120922	90608	133709	219130	31723264
LapL	4.55955	7.567926	5.83095	9.323621	51696	66111	84851	12308187
LapG	3.57790	5.936351	5.52525	8.816259	40566	62645	65976	9591674
EutP	2.50310	4.164438	2.48802	3.898755	28380	28209	30696	4495774
GalP	2.03203	3.356777	0.81787	1.257403	23039	9273	23248	3387176
AmauC	1.80085	2.990047	1.59420	2.478884	20418	18075	28852	4179030
PerC	1.73356	2.867142	1.62260	2.517406	19655	18397	31746	4554560
PerS	1.59129	2.628474	1.66873	2.590415	18042	18920	30522	4376377
GalC	1.51306	2.508116	2.10117	3.281234	17155	23823	40978	5789350
GalL	1.44488	2.392942	1.61378	2.520650	16382	18297	19445	2831225
Peri	1.33728	2.216370	1.62040	2.503004	15162	18372	20354	2951967
