#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
GalL	48.73538	113.011267	3.58469	7.407069	786496	57850	795072	114158045
GalC	3.06765	7.148477	2.63966	5.686185	49506	42599	92105	12834662
EutP	2.01461	4.693033	2.03134	4.348372	32512	32782	34458	4951049
PerC	1.90047	4.341145	1.69332	3.584643	30670	27327	48906	6758264
GalP	1.89074	4.363914	0.77971	1.616232	30513	12583	30553	4368221
PerS	1.84824	4.281785	1.71036	3.649007	29827	27602	48621	6818977
AmauC	1.84402	4.276770	1.57261	3.355514	29759	25379	42561	6012761
LapC	1.65633	3.881595	2.37215	5.180420	26730	38282	31859	4611987
LapG	1.64158	3.833456	2.38021	5.157599	26492	38412	40304	5745289
Peri	1.38306	3.206464	1.56128	3.302934	22320	25196	29463	4178057
LapL	1.34867	3.142222	2.24692	4.871692	21765	36261	38012	5379162
LapV	1.27134	2.963793	2.38727	5.233893	20517	38526	20581	2971685
LapA	1.18205	2.751799	2.44682	5.368955	19076	39487	52868	7369398
LapI	0.97385	2.277630	2.46640	5.472574	15716	39803	25259	3625424
