#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapL	7.88606	3.781570	7.84094	3.647078	25871	25723	39596	5753433
LapG	6.14857	2.942121	7.24502	3.372498	20171	23768	28417	4129647
LapC	5.33043	2.566078	8.54478	3.991023	17487	28032	20807	3047841
LapI	4.10260	1.975162	8.57282	4.022302	13459	28124	21548	3150663
LapV	3.91819	1.876473	7.90038	3.694748	12854	25918	12892	1881835
LapA	3.75846	1.808630	8.68591	4.069902	12330	28495	38633	5574400
EutP	3.27196	1.572683	3.76120	1.730174	10734	12339	11349	1661570
PerC	3.22563	1.461860	2.39773	1.078845	10582	7866	15908	2203260
GalP	3.12504	1.483298	1.07054	0.475968	10252	3512	10305	1490751
GalC	3.11345	1.490716	3.53228	1.623942	10214	11588	21802	3114658
AmauC	3.08876	1.471479	3.10766	1.416002	10133	10195	14645	2107369
PerS	2.52058	1.187931	2.69128	1.220134	8269	8829	14202	2019114
Peri	2.12065	1.013874	2.57941	1.173622	6957	8462	9066	1315057
GalL	2.04627	0.980172	2.65500	1.215322	6713	8710	7965	1160453
