#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapL	38.58214	38.992079	9.36660	8.661423	271038	65800	305766	43665923
LapC	2.89724	2.931048	4.85725	4.536241	20353	34122	23263	3341960
LapG	2.76784	2.786182	4.34237	4.000166	19444	30505	27239	3863965
GalP	2.70877	2.673570	1.12912	0.994071	19029	7932	19090	2681707
PerC	2.36699	2.351126	2.02051	1.802060	16628	14194	26783	3661298
LapV	2.06962	2.081640	4.64743	4.351066	14539	32648	14608	2090501
LapA	1.96357	1.985660	5.21754	4.907792	13794	36653	48087	6603242
LapI	1.91474	1.931687	4.73255	4.456151	13451	33246	19180	2736105
AmauC	1.88827	1.872108	2.02663	1.810418	13265	14237	18930	2618907
EutP	1.74592	1.750906	2.36016	2.149072	12265	16580	13249	1883283
PerS	1.36200	1.355171	1.83844	1.638475	9568	12915	18141	2465672
Peri	1.32043	1.313401	1.83887	1.637218	9276	12918	12091	1694934
GalC	1.19517	1.192932	1.97425	1.762619	8396	13869	22265	2955551
GalL	1.14705	1.151521	1.49937	1.340639	8058	10533	9285	1317742
