#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapI	19.85576	26.460537	15.24115	19.295686	182426	140029	236698	34186048
LapV	6.56464	8.703842	11.80847	14.880054	60313	108491	60435	8720323
LapC	4.93591	6.566098	10.11041	12.672749	45349	92890	55806	8048953
LapA	4.71464	6.245173	11.09163	13.916884	43316	101905	139935	19513473
LapL	2.90099	3.827564	5.38250	6.536422	26653	49452	50087	7015584
LapG	2.83089	3.746551	5.12606	6.238609	26009	47096	43875	6212358
PerC	1.73735	2.255892	1.99357	2.321841	15962	18316	27945	3807147
GalP	1.71612	2.206887	0.99210	1.130052	15767	9115	15878	2221823
EutP	1.64842	2.167706	2.37147	2.747384	15145	21788	16543	2353617
AmauC	1.58366	2.074719	1.68064	1.920367	14550	15441	22278	3086453
Peri	1.32886	1.746042	1.93403	2.229073	12209	17769	17057	2395441
PerS	1.31210	1.716528	1.56897	1.782891	12055	14415	20717	2825207
GalC	1.12729	1.472208	1.94905	2.259138	10357	17907	28264	3731346
GalL	0.93583	1.223564	1.40788	1.620556	8598	12935	10107	1432701
