#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapI	22.67090	25.048809	15.63562	16.517828	172105	118697	219931	31894132
LapV	7.20640	7.903649	11.93408	12.582488	54707	90597	54783	7913509
LapC	5.64780	6.239980	9.96292	10.430668	42875	75633	51435	7458797
LapA	5.15962	5.674432	10.90609	11.436874	39169	82793	118173	16628847
LapL	2.83306	3.110418	5.02987	5.127405	21507	38184	41344	5842463
LapG	2.24516	2.462708	4.65603	4.736984	17044	35346	30823	4377821
GalP	1.57625	1.698656	0.66996	0.629819	11966	5086	12000	1703076
Peri	1.26959	1.382361	1.72062	1.650817	9638	13062	13064	1840274
EutP	1.26603	1.380409	1.90662	1.833512	9611	14474	10600	1515002
PerS	1.11244	1.208610	1.29369	1.232934	8445	9821	14446	1989187
PerC	1.07358	1.163357	1.32570	1.267015	8150	10064	13918	1904532
GalC	1.05184	1.147215	1.72062	1.676652	7985	13062	21047	2823867
AmauC	1.05145	1.144276	1.43820	1.385792	7982	10918	13340	1857432
GalL	0.90470	0.991360	1.22401	1.185027	6868	9292	8002	1149654
