#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
GalL	13.86515	6.593512	5.48502	2.459455	45703	18080	47521	6848075
GalC	6.03201	2.864810	5.37308	2.424482	19883	17711	37594	5289292
LapG	3.82344	1.818013	5.13038	2.318072	12603	16911	18443	2642505
EutP	3.26250	1.545756	4.06462	1.813688	10754	13398	11235	1612758
PerS	2.94243	1.384918	3.19484	1.407154	9699	10531	16329	2282936
LapL	2.79651	1.327960	4.82882	2.180499	9218	15917	16824	2395164
PerC	2.70550	1.277913	3.26826	1.438011	8918	10773	15725	2193395
LapV	2.58051	1.217097	4.76815	2.162779	8506	15717	8533	1220677
Peri	2.52833	1.189498	3.60319	1.606520	8334	11877	11676	1656528
LapC	2.39757	1.142401	5.00265	2.262480	7903	16490	9557	1377134
AmauC	2.34934	1.106501	2.86447	1.263054	7744	9442	11917	1678006
LapA	2.15609	1.020462	5.22017	2.364281	7107	17207	21575	3016051
LapI	2.01532	0.958646	5.14251	2.337007	6643	16951	10963	1572521
GalP	1.92218	0.891414	1.10671	0.462221	6336	3648	6388	898511
