#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
GalC	6.84909	1.733623	4.94824	1.186752	12067	8718	20785	2920375
GalP	6.47732	1.596344	1.56314	0.353155	11412	2754	11452	1601868
GalL	5.98749	1.509338	3.62292	0.863469	10549	6383	11264	1609316
PerC	4.89772	1.217241	3.18814	0.743853	8629	5617	12376	1718021
LapL	3.61100	0.912056	4.47884	1.067319	6362	7891	9693	1374978
AmauC	3.61043	0.904289	2.88051	0.674241	6361	5075	8484	1190520
EutP	2.95657	0.748938	3.37658	0.797273	5209	5949	5402	774915
PerS	2.62453	0.655386	3.12741	0.734623	4624	5510	8073	1122014
Peri	2.42814	0.613407	2.98495	0.704960	4278	5259	5709	812967
LapG	2.38444	0.600798	3.90955	0.929329	4201	6888	6349	900110
LapA	2.37706	0.593906	4.12467	0.985786	4188	7267	10238	1418260
LapC	2.23914	0.566427	4.48225	1.074207	3945	7897	4771	682709
LapV	1.88212	0.475009	3.78468	0.909013	3316	6668	3342	478458
LapI	1.81174	0.461079	4.44876	1.078011	3192	7838	4967	711775
