#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
GalL	8.53861	11.548319	5.10909	6.607722	80060	47904	86159	12412459
GalC	6.49280	8.802352	6.10352	7.932833	60878	57228	118106	16735185
EutP	4.04843	5.493529	4.57753	5.903963	37959	42920	39914	5756085
LapL	3.90167	5.296175	5.30202	6.887951	36583	49713	59264	8506352
PerC	3.71290	4.854260	3.61862	4.578704	34813	33929	55212	7641087
LapG	3.54055	4.791818	5.26512	6.814827	33197	49367	49185	7055775
PerS	3.49863	4.675404	4.07936	5.225466	32804	38249	56571	7963551
AmauC	3.28170	4.429292	3.32191	4.237350	30770	31147	44090	6279594
Peri	2.85733	3.855297	3.60870	4.597199	26791	33836	36054	5151639
LapC	2.79142	3.804503	5.87880	7.670918	26173	55121	31300	4536615
GalP	2.62973	3.532458	1.25712	1.550396	24657	11787	24762	3546031
LapV	2.29858	3.095800	5.04339	6.579465	21552	47288	21675	3112944
LapA	2.11108	2.853432	5.69973	7.452020	19794	53442	65786	9292731
LapI	1.81523	2.464260	5.61132	7.377161	17020	52613	28785	4158061
