#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapL	10.12201	6.439009	10.62550	6.208616	46058	48349	70182	9629724
GalP	4.47577	2.723426	1.78956	0.940567	20366	8143	20427	2730451
LapC	3.74043	2.387381	8.19400	4.779342	17020	37285	20686	2885436
LapG	3.36111	2.139922	6.77651	3.891169	15294	30835	23902	3280525
LapV	2.84664	1.813122	7.68898	4.533263	12953	34987	13005	1819359
PerC	2.77807	1.727656	3.33562	1.821747	12641	15178	22795	2974787
AmauC	2.67258	1.651339	3.28639	1.799667	12161	14954	18269	2414054
LapA	2.66643	1.696999	8.00017	4.701344	12133	36403	45203	6001153
LapI	2.59039	1.656252	7.61448	4.499645	11787	34648	19121	2659860
EutP	1.92999	1.209837	3.65780	2.034644	8782	16644	9601	1313621
GalC	1.88516	1.176277	3.47187	1.919929	8578	15798	24376	3096206
PerS	1.76429	1.096267	2.87433	1.564745	8028	13079	16088	2095885
Peri	1.40717	0.873520	2.94795	1.624904	6403	13414	9200	1232068
GalL	1.18652	0.744487	2.54776	1.408054	5399	11593	6545	894953
