#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapA	28.15564	35.278918	14.09226	17.161106	240809	120528	357498	51937942
LapI	6.14069	7.663807	10.13238	12.358173	52520	86660	74918	10912027
LapV	6.08539	7.596939	9.15948	11.146485	52047	78339	52104	7605045
LapC	5.75696	7.222909	9.04595	11.027198	49238	77368	57737	8458380
LapG	3.20691	4.000407	4.41377	5.286403	27428	37750	40837	5925317
LapL	2.84270	3.565738	4.14696	4.982208	24313	35468	37079	5381639
Peri	1.44222	1.789456	1.39662	1.607451	12335	11945	15352	2208908
EutP	1.44117	1.804850	1.79801	2.105279	12326	15378	13325	1947979
GalP	1.16980	1.456116	0.48546	0.554750	10005	4152	10031	1459569
PerS	1.08129	1.353240	1.25012	1.455834	9248	10692	15697	2256465
PerC	1.00365	1.248453	1.10923	1.290328	8584	9487	13867	1978928
AmauC	0.99617	1.243322	1.11426	1.294132	8520	9530	12289	1771563
GalL	0.99044	1.235477	1.02680	1.185506	8471	8782	9376	1363984
GalC	0.92777	1.160866	1.32799	1.543571	7935	11358	19293	2704437
