#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
GalL	14.25155	69.744354	5.63106	26.108510	482862	190788	505038	72858155
GalC	7.24838	35.424427	5.61429	26.118003	245585	190220	435805	61542430
LapG	3.64032	17.797954	5.06709	23.494570	123339	171680	180834	25885535
EutP	3.60517	17.635942	4.38200	20.192079	122148	148468	127647	18401306
PerS	3.08990	15.091080	3.34523	15.320428	104690	113341	174844	24696815
LapC	2.89442	14.253337	5.17405	24.232221	98067	175304	115224	16693605
LapL	2.73487	13.372721	4.86843	22.656012	92661	164949	169691	24210764
AmauC	2.63100	12.792660	2.82282	12.842771	89142	95641	132755	18809091
PerC	2.55193	12.402255	3.11823	14.198001	86463	105650	153429	21508459
Peri	2.52448	12.253653	3.69386	16.937393	85533	125153	122719	17450660
LapV	2.49199	12.204266	4.89543	22.903362	84432	165864	84718	12240100
GalP	2.27532	10.995094	1.01658	4.407080	77091	34443	77411	11035376
LapA	2.06060	10.134222	5.35504	25.058852	69816	181436	222139	31271462
LapI	2.05821	10.106340	5.22892	24.620768	69735	177163	111730	16092600
