#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapL	10.53468	23.788450	10.94801	22.680811	167708	174288	256219	35653329
LapC	4.48051	10.160043	9.07610	18.863112	71328	144488	86381	12237399
LapG	4.43114	9.984156	7.67092	15.717765	70542	122118	106203	14800380
LapV	3.69331	8.365531	8.71686	18.270326	58796	138769	58918	8380242
LapA	3.46899	7.855144	9.02020	18.779403	55225	143598	187705	25284026
LapI	3.20605	7.266735	8.70235	18.280529	51039	138538	81496	11500985
EutP	2.49793	5.539684	3.75951	7.377181	39766	59850	42898	5935993
PerC	2.46878	5.403811	2.68172	5.154667	39302	42692	67317	8870721
GalP	2.38951	5.085183	1.32139	2.424461	38040	21036	38202	5104155
AmauC	2.03648	4.480180	2.93217	5.658967	32420	46679	51730	6908536
GalC	1.98309	4.380003	3.32395	6.568271	31570	52916	84486	10948274
PerS	1.67435	3.669647	2.82526	5.451740	26655	44977	54030	7091859
GalL	1.60462	3.559887	2.46865	4.827146	25545	39300	30222	4179273
Peri	1.45965	3.219138	2.96220	5.710888	23237	47157	33891	4595785
