#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
Peri	10.67829	40.040961	6.53065	23.434686	276972	169391	333842	48106134
EutP	8.14740	30.626953	6.93403	24.944810	211326	179854	219046	31717440
PerC	4.21615	15.034941	3.67717	12.979366	109358	95378	176017	24231704
AmauC	3.47446	13.014109	3.72941	13.227833	90120	96733	135601	19358518
PerS	3.42681	12.773030	4.22302	14.975841	88884	109536	163065	23083737
GalC	3.07335	11.531152	4.11688	14.689055	79716	106783	186499	26220207
LapL	3.04740	11.490607	5.16114	18.537660	79043	133869	142535	20456089
LapC	2.45498	9.261822	5.39493	19.492562	63677	139933	79893	11581841
GalL	2.37306	8.896649	3.00688	10.672751	61552	77992	72960	10513186
GalP	2.22887	8.263818	1.35736	4.635159	57812	35207	58063	8297412
LapG	2.19895	8.231953	4.61303	16.452240	57036	119652	99715	14276863
LapV	1.91346	7.180752	5.00913	18.126287	49631	129926	49802	7203512
LapI	1.79182	6.736666	5.39470	19.597916	46476	139927	75832	10932089
LapA	1.67026	6.293362	5.34724	19.311728	43323	138696	165253	23322859
