#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
Peri	12.40994	25.813838	6.22414	12.517784	176355	88450	207886	30354306
EutP	7.84172	16.316361	5.78251	11.627206	111437	82174	115226	16853479
PerS	3.37068	6.984190	3.44063	6.846848	47900	48894	81204	11696525
AmauC	3.28110	6.812692	3.05493	6.094314	46627	43413	68374	9909100
PerC	3.16147	6.309098	2.96796	5.875139	44927	42177	74864	10522187
LapL	2.93932	6.109665	4.15783	8.352271	41770	59086	71606	10402097
GalC	2.93720	6.118292	3.53161	7.084219	41740	50187	91927	13202511
GalL	2.83791	5.884457	2.81054	5.591480	40329	39940	44906	6544244
LapC	2.56143	5.345078	5.05264	10.227374	36400	71802	44336	6496532
LapG	2.55109	5.310733	4.20877	8.425868	36253	59810	59641	8676107
LapI	2.54687	5.304730	5.62178	11.394503	36193	79890	55088	8041989
GalP	2.34990	4.828885	1.01050	1.947497	33394	14360	33491	4842160
LapV	2.33604	4.861029	4.49989	9.089653	33197	63947	33258	4869030
LapA	2.23007	4.652435	4.90923	9.909586	31691	69764	93696	13478402
