#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
GalP	7.25851	1.416729	1.00874	0.180302	9930	1380	9935	1417479
LapC	6.71759	1.327352	8.00556	1.524915	9190	10952	10861	1564402
LapA	5.02102	0.992667	7.49169	1.434614	6869	10249	16608	2361561
LapI	4.71255	0.926909	7.62180	1.460777	6447	10427	9896	1420732
LapL	4.60656	0.908407	4.82292	0.903563	6302	6598	9581	1364553
LapV	4.56635	0.904761	7.12547	1.363517	6247	9748	6272	908371
PerC	3.65630	0.712681	1.75432	0.317228	5002	2400	6666	935134
AmauC	3.22503	0.633286	1.69219	0.305241	4412	2315	5474	775043
LapG	2.63441	0.517319	4.07003	0.758877	3604	5568	5596	798102
PerS	2.36249	0.464965	1.49702	0.267818	3232	2048	4641	654603
EutP	2.35298	0.459214	2.04963	0.375925	3219	2804	3432	488972
GalC	1.99773	0.388529	1.96996	0.355979	2733	2695	5428	744508
Peri	1.55915	0.304320	1.44878	0.258563	2133	1982	2749	388563
GalL	1.40492	0.269500	1.40857	0.252990	1922	1927	2155	301600
