#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapC	9.68365	8.670485	11.76746	10.146657	59599	72424	69895	10148683
LapA	7.12686	6.368001	11.11624	9.563647	43863	68416	109090	15513655
LapV	6.90752	6.180021	10.96416	9.463220	42513	67480	42613	6193735
LapI	6.85325	6.132475	11.54259	9.988393	42179	71040	67793	9814321
LapL	3.46992	3.098946	5.46664	4.618766	21356	33645	38712	5535761
LapG	3.33604	2.971203	5.83125	4.930993	20532	35889	34519	4950545
EutP	2.21493	1.974947	2.36214	1.928781	13632	14538	14471	2091125
PerS	1.59490	1.403069	1.78176	1.443787	9816	10966	16959	2365601
PerC	1.59377	1.399475	1.40367	1.117734	9809	8639	14990	2081597
AmauC	1.53008	1.352088	1.64040	1.327401	9417	10096	13857	1949835
GalC	1.47256	1.303427	2.01362	1.641236	9063	12393	21456	2944663
GalP	1.42560	1.244134	0.74253	0.586464	8774	4570	8854	1255257
Peri	1.40350	1.244155	1.76063	1.424616	8638	10836	11687	1662616
GalL	1.00315	0.882523	1.45436	1.175599	6174	8951	7662	1090296
