#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapI	12.58825	30.492883	14.03306	32.939405	209279	233299	305182	44310850
LapV	8.84574	21.400495	12.07589	28.271966	147060	200761	147253	21427175
LapC	8.64021	20.958730	11.91402	27.869426	143643	198070	171413	24965013
LapA	7.36772	17.814533	11.60635	27.069516	122488	192955	308471	43991066
LapL	3.77234	9.130960	5.19394	11.890724	62715	86349	108264	15546914
LapG	3.70846	8.930920	5.25223	11.979043	61653	87318	97996	14068980
EutP	1.92536	4.642770	2.42768	5.411282	32009	40360	34731	5023765
PerS	1.42737	3.439402	1.39188	3.043389	23730	23140	39178	5535453
Peri	1.42358	3.412774	1.62485	3.535274	23667	27013	32215	4598728
GalP	1.37047	3.280262	0.57498	1.226106	22784	9559	22862	3289930
GalL	1.35279	3.257666	1.32824	2.893713	22490	22082	25656	3698790
AmauC	1.31242	3.160396	1.43928	3.167806	21819	23928	33263	4727335
GalC	1.29973	3.127667	1.63170	3.575679	21608	27127	48735	6703346
PerC	1.08692	2.621000	1.13402	2.432673	18070	18853	29888	4178657
