#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
PerS	59.27907	190.639560	3.22228	9.157037	1339129	72792	1392279	197433560
GalP	2.17359	6.896830	0.96471	2.816071	49102	21793	49409	6938573
AmauC	1.93694	6.242488	1.54673	4.524876	43756	34941	56880	8009251
EutP	1.84287	5.950618	1.74274	5.117203	41631	39369	43755	6227239
PerC	1.70534	5.487903	1.70702	5.012547	38524	38562	60358	8386432
Peri	1.39715	4.496602	1.41902	4.158024	31562	32056	40431	5716329
LapL	1.26687	4.094355	1.43026	4.217431	28619	32310	40216	5689587
GalC	1.15094	3.701742	1.32137	3.910184	26000	29850	55850	7611926
LapC	1.01986	3.299699	1.76408	5.282187	23039	39851	28324	4028282
LapG	0.94731	3.063004	1.59383	4.750029	21400	36005	32824	4642886
GalL	0.87449	2.812273	0.99153	2.909307	19755	22399	23903	3385292
LapV	0.75851	2.449346	1.34899	4.054732	17135	30474	17413	2487612
LapI	0.68445	2.203642	1.55669	4.733367	15462	35166	23115	3276675
LapA	0.56631	1.832457	1.50653	4.529968	12793	34033	43013	5872964
