#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapI	18.74337	26.018553	14.82784	19.661646	178993	141601	235220	34042025
LapV	7.37010	10.161824	11.83151	15.660099	70382	112987	70539	10182461
LapC	5.48218	7.595588	10.27219	13.544924	52353	98096	63723	9218329
LapA	4.73210	6.541000	10.62288	13.983503	45190	101445	141813	19916094
LapG	2.57171	3.554829	5.03986	6.461320	24559	48129	43552	6194966
LapL	2.43987	3.374675	4.99651	6.398368	23300	47715	46690	6589366
GalP	1.62477	2.183194	0.78537	0.944338	15516	7500	15641	2198983
EutP	1.61890	2.217104	2.08395	2.558652	15460	19901	16998	2425750
AmauC	1.47785	2.015254	1.81106	2.237502	14113	17295	22999	3199542
PerS	1.28329	1.746544	1.47126	1.785815	12255	14050	21214	2921101
Peri	1.22978	1.678574	1.67587	2.039108	11744	16004	16520	2320513
PerC	1.04045	1.419242	1.44204	1.758254	9936	13771	18389	2524707
GalC	1.02496	1.403233	1.80247	2.220686	9788	17213	27001	3623919
GalL	0.94904	1.295664	1.32193	1.613863	9063	12624	10515	1496779
