#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapI	20.20028	9.058234	13.04139	5.656806	62371	40267	79197	11469610
LapV	6.61252	2.963153	10.18743	4.405107	20417	31455	20457	2968452
LapC	6.25625	2.805425	8.89096	3.835323	19317	27452	22745	3295863
LapA	5.21695	2.328601	9.29094	4.000419	16108	28687	43638	6179488
LapL	3.07064	1.371224	4.29585	1.812402	9481	13264	16336	2325786
LapG	2.78272	1.241721	3.96777	1.673214	8592	12251	13614	1948506
EutP	1.98955	0.889859	2.10938	0.869015	6143	6513	6593	952457
GalP	1.98631	0.875647	0.75139	0.305157	6133	2320	6156	878728
AmauC	1.91992	0.855163	1.55912	0.641108	5928	4814	8179	1161354
PerC	1.75993	0.782657	1.37776	0.557711	5434	4254	8105	1140723
PerS	1.58050	0.701487	1.32885	0.538427	4880	4103	7584	1065383
GalC	1.53127	0.679116	1.61677	0.660212	4728	4992	9720	1339328
Peri	1.26084	0.557261	1.40302	0.567333	3893	4332	5236	742483
GalL	1.06910	0.476438	1.21582	0.497245	3301	3754	3878	558074
