#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapI	10.55670	29.362256	13.92658	37.689825	201330	265598	303197	44063839
LapC	8.93673	24.897452	11.86264	31.948996	170435	226236	203367	29638090
LapV	8.50288	23.622953	12.18978	32.892838	162161	232475	162317	23644099
LapA	7.09595	19.726142	11.96552	32.252566	135329	228198	355009	50849994
LapL	4.54075	12.585520	6.01537	15.969148	86598	114721	145292	20903000
LapG	3.33847	9.245766	5.66569	15.014750	63669	108052	107957	15552494
EutP	2.30939	6.409122	2.58357	6.707281	44043	49272	47700	6921165
AmauC	1.81309	5.011083	1.79322	4.622952	34578	34199	50508	7209467
GalP	1.67257	4.606103	0.75045	1.889712	31898	14312	31985	4617210
PerS	1.59868	4.399390	1.59585	4.039975	30489	30435	49706	7013362
Peri	1.54106	4.268414	1.85761	4.763939	29390	35427	39133	5629737
GalC	1.42350	3.945379	2.11774	5.492234	27148	40388	67536	9437613
PerC	1.23337	3.396797	1.41726	3.603370	23522	27029	40930	5765210
GalL	1.15923	3.192158	1.56597	4.027580	22108	29865	26073	3753310
