#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapI	11.82783	13.724028	12.21606	13.471989	96304	99465	132471	18788656
LapC	5.28693	6.104590	8.75027	9.544026	43047	71246	50476	7134260
LapV	4.73438	5.493759	9.62105	10.575919	38548	78336	38641	5503867
LapL	4.40952	5.056927	5.49867	5.866096	35903	44771	57130	7909374
GalP	4.27479	4.823396	1.50304	1.530966	34806	12238	34916	4837307
LapA	3.49834	4.022041	9.32960	10.181927	28484	75963	100090	13664083
AmauC	2.76180	3.139576	2.60423	2.676252	22487	21204	32220	4402969
PerC	2.50032	2.850681	2.28085	2.344091	20358	18571	32862	4461478
LapG	2.41582	2.769149	5.01280	5.333475	19670	40815	34102	4736924
EutP	1.69402	1.945770	2.36326	2.431388	13793	19242	14924	2095345
GalC	1.56187	1.778473	2.09908	2.138319	12717	17091	29808	3916792
PerS	1.49702	1.691195	1.89631	1.918911	12189	15440	22309	2991237
Peri	1.19207	1.365182	1.78159	1.793095	9706	14506	13733	1895650
GalL	1.03990	1.184166	1.51815	1.546527	8467	12361	9996	1388923
