#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
Peri	11.19515	25.566736	7.07379	15.562219	175847	111111	211021	30592015
EutP	7.80580	17.902275	6.79953	14.962054	122609	106803	127246	18561577
PerS	3.57875	8.129733	4.43166	9.671777	56213	69610	102327	14611691
GalC	3.49249	7.983436	4.46572	9.783701	54858	70145	125003	17767137
AmauC	3.31003	7.525845	3.80101	8.281555	51992	59704	79699	11413445
PerC	3.12050	7.033743	3.53986	7.692986	49015	55602	87629	12430290
LapL	3.07282	7.034050	5.39223	11.873879	48266	84698	89960	12987900
LapG	2.48621	5.653815	5.01947	10.980436	39052	78843	67705	9731435
GalL	2.30553	5.253843	3.04748	6.652261	36214	47868	43167	6252668
LapC	2.22767	5.114682	5.45137	12.046967	34991	85627	44068	6416541
LapV	2.10627	4.819944	5.40573	11.945900	33084	84910	33163	4830813
LapI	2.08150	4.746819	5.70024	12.623579	32695	89536	50814	7354157
GalP	2.06743	4.656456	1.26513	2.654847	32474	19872	32555	4666917
LapA	1.96092	4.508757	5.55190	12.247851	30801	87206	106935	15227898
