#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
GalC	11.10724	14.181562	7.07534	8.555043	97940	62388	160328	22736605
GalL	7.13125	9.081462	5.48319	6.586566	62881	48349	67989	9803963
EutP	3.44604	4.399298	4.65985	5.538488	30386	41089	31885	4606132
LapG	3.06441	3.911256	5.48886	6.595251	27021	48399	42071	6038049
LapV	2.80788	3.555118	5.77397	7.049351	24759	50913	24851	3567511
Peri	2.80698	3.565538	4.13760	4.907747	24751	36484	34283	4895442
PerS	2.70559	3.425251	3.80146	4.499405	23857	33520	43809	6145035
LapL	2.34847	3.000262	5.56961	6.707855	20708	49111	41147	5864646
LapC	2.20773	2.836737	6.07757	7.374617	19467	53590	24112	3505950
LapI	2.14751	2.757303	6.30586	7.701236	18936	55603	31787	4597758
PerC	2.13424	2.695841	3.33059	3.935234	18819	29368	36213	5047813
AmauC	2.08218	2.615152	3.07893	3.598576	18360	27149	29978	4192448
LapA	1.96639	2.508739	6.26424	7.570120	17339	55236	62057	8664129
GalP	1.63535	2.026537	1.20122	1.354693	14420	10592	14558	2044584
