#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapV	39.60206	28.702168	10.80653	7.494883	195930	53465	196024	28715194
LapI	3.49653	2.521675	6.52293	4.537285	17299	32272	33088	4792113
LapC	2.96798	2.147330	5.43793	3.765032	14684	26904	22653	3299440
LapA	2.36464	1.699811	5.35122	3.684680	11699	26475	36921	5220386
LapG	2.00183	1.447239	2.80386	1.892227	9904	13872	15923	2293997
LapL	1.96666	1.422198	2.87500	1.946119	9730	14224	17955	2574561
GalP	1.57414	1.124837	0.58232	0.380101	7788	2881	7856	1134169
PerC	1.42820	1.015855	1.06802	0.702674	7066	5284	10669	1500944
EutP	1.30248	0.943544	1.41810	0.942139	6444	7016	7406	1079015
AmauC	1.09854	0.791885	1.09430	0.724641	5435	5414	8096	1158498
PerS	1.03790	0.741904	0.89116	0.579107	5135	4409	8011	1128761
Peri	0.93462	0.669094	1.04377	0.676716	4624	5164	6176	882203
GalL	0.83133	0.597617	0.84225	0.557443	4113	4167	5036	726968
GalC	0.75756	0.543755	1.17939	0.786059	3748	5835	9583	1329814
