#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapA	24.46148	84.564562	13.43211	44.879923	579952	318459	888919	128239120
LapC	7.02094	24.324257	9.48716	31.652304	166458	224929	191992	27994199
LapV	5.65111	19.535456	9.14956	30.555166	133981	216925	134094	19550355
LapI	5.47278	18.912269	9.67038	32.350563	129753	229273	190064	27610313
LapL	3.81087	13.130978	4.45932	14.597891	90351	105725	134030	19281182
LapG	3.44948	11.869824	4.82150	15.782379	81783	114312	122278	17634353
EutP	2.02971	7.002959	2.01828	6.436971	48122	47851	50777	7373314
GalP	1.56161	5.359471	0.56102	1.744934	37024	13301	37201	5384958
PerS	1.49615	5.141089	1.51357	4.779788	35472	35885	57205	8121759
PerC	1.31002	4.511148	1.36941	4.315808	31059	32467	49585	7027981
GalC	1.27885	4.404211	1.51788	4.804575	30320	35987	66307	9208786
AmauC	1.24709	4.281836	1.31205	4.148295	29567	31107	44571	6365251
Peri	1.14430	3.922981	1.33086	4.134206	27130	31553	34419	4925208
GalL	0.99811	3.434869	1.10014	3.442947	23664	26083	26815	3875419
