#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
GalL	9.03966	27.775757	5.73655	16.242315	198376	125889	213712	29826738
GalC	4.95364	15.205718	6.18499	17.595410	108708	135730	244438	32801128
GalP	3.92448	11.716304	2.02551	5.377785	86123	44450	86492	11760456
LapL	3.33109	10.210003	5.70757	16.105160	73101	125253	124166	17019446
AmauC	3.16536	9.606346	3.88361	10.706050	69464	85226	104420	14127137
PerC	3.07623	9.339829	4.15980	11.474587	67508	91287	125621	16743575
PerS	2.42606	7.418265	3.70028	10.192984	53240	81203	103503	13877368
LapG	2.42191	7.421420	5.15109	14.584081	53149	113041	87590	12068400
EutP	2.41553	7.417026	4.32926	12.079217	53009	95006	55979	7809144
Peri	1.94476	5.926715	4.10470	11.421215	42678	90078	63147	8624811
LapI	1.82173	5.496616	5.06811	14.584487	39978	111220	59672	8184101
LapC	1.81467	5.581705	5.03571	14.340126	39823	110509	47413	6622360
LapV	1.53388	4.718176	4.91637	14.117925	33661	107890	33941	4750873
LapA	1.53347	4.720183	5.46328	15.647440	33652	119892	129162	17262896
