#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapI	23.44683	20.444192	15.20188	12.764635	140096	90832	177110	25769031
LapV	6.79693	5.905799	11.16041	9.356397	40612	66684	40686	5916072
LapC	5.87593	5.123272	9.84762	8.222664	35109	58840	41362	6022133
LapA	5.30623	4.608349	10.45548	8.721285	31705	62472	91542	12990917
LapL	2.91663	2.526534	4.64649	3.785899	17427	27763	31753	4526487
LapG	2.38023	2.069419	4.61017	3.750913	14222	27546	25237	3615607
EutP	1.48032	1.282055	1.84534	1.445019	8845	11026	9558	1379882
AmauC	1.46509	1.260341	1.51296	1.190743	8754	9040	13573	1918952
GalC	1.40568	1.211884	1.67647	1.317840	8399	10017	18416	2529724
Peri	1.35547	1.172788	1.53204	1.189772	8099	9154	10897	1555736
PerS	1.32836	1.147099	1.29187	1.000350	7937	7719	12661	1774813
GalP	1.29974	1.106560	0.61673	0.466148	7766	3685	7803	1111730
PerC	1.14309	0.984976	1.36367	1.064328	6830	8148	12086	1685389
GalL	1.02108	0.882472	1.29873	1.015707	6101	7760	6995	1006586
