#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
PerS	16.27587	24.870004	3.15298	4.646145	169481	32832	191153	27966290
PerC	11.29691	17.225669	2.59368	3.791728	117635	27008	134579	19620388
LapL	5.45231	8.364934	3.82540	5.703615	56775	39834	78189	11469069
EutP	3.65984	5.614716	3.19898	4.740658	38110	33311	39665	5832433
LapG	3.31767	5.079251	3.53730	5.264441	34547	36834	48206	7060781
LapC	3.21165	4.929910	4.32094	6.477600	33443	44994	39450	5806877
LapV	3.13031	4.787039	4.02035	6.015393	32596	41864	32723	4805330
Peri	2.94132	4.498451	2.76865	4.088920	30628	28830	40301	5899849
LapA	2.88024	4.413355	4.22798	6.334646	29992	44026	70264	10213973
LapI	2.72150	4.172865	4.84999	7.285742	28339	50503	41584	6109368
AmauC	2.40247	3.684617	1.92643	2.839838	25017	20060	34064	4985053
GalL	2.14222	3.269315	1.65456	2.423030	22307	17229	24794	3628990
GalC	1.97147	3.023428	2.18563	3.228219	20529	22759	43288	6251647
GalP	1.84634	2.821391	0.78632	1.130033	19226	8188	19317	2834286
