alignment	lenght	from	to
At1g01470_supercontig.fasta	4651	1	4651
At1g03250_supercontig.fasta	2735	4652	7386
At1g04560_supercontig.fasta	3616	7387	11002
At1g05720_supercontig.fasta	8646	11003	19648
At1g11790_supercontig.fasta	2198	19649	21846
At1g12840_supercontig.fasta	3780	21847	25626
At1g13700_supercontig.fasta	7646	25627	33272
At1g14620_supercontig.fasta	8463	33273	41735
At1g15140_supercontig.fasta	3506	41736	45241
At1g16080_supercontig.fasta	7840	45242	53081
At1g18170_supercontig.fasta	3612	53082	56693
At1g20540_supercontig.fasta	6040	56694	62733
At1g23820_supercontig.fasta	8352	62734	71085
At1g26810_supercontig.fasta	4000	71086	75085
At1g26880_supercontig.fasta	5101	75086	80186
At1g31160_supercontig.fasta	3564	80187	83750
At1g33810_supercontig.fasta	3038	83751	86788
At1g34220_supercontig.fasta	9352	86789	96140
At1g36240_supercontig.fasta	4253	96141	100393
At1g47640_supercontig.fasta	10303	100394	110696
At1g51510_supercontig.fasta	6597	110697	117293
At1g53645_supercontig.fasta	5198	117294	122491
At1g55310_supercontig.fasta	3554	122492	126045
At1g60990_supercontig.fasta	12313	126046	138358
At1g61150_supercontig.fasta	12235	138359	150593
At1g63780_supercontig.fasta	8568	150594	159161
At1g64200_supercontig.fasta	6139	159162	165300
At1g69640_supercontig.fasta	5002	165301	170302
At1g70580_supercontig.fasta	16437	170303	186739
At1g72560_supercontig.fasta	8936	186740	195675
At1g73230_supercontig.fasta	9865	195676	205540
At1g75220_supercontig.fasta	6374	205541	211914
At1g76080_supercontig.fasta	3142	211915	215056
At1g77310_supercontig.fasta	3300	215057	218356
At1g77350_supercontig.fasta	9271	218357	227627
At1g79740_supercontig.fasta	5083	227628	232710
At1g80090_supercontig.fasta	3326	232711	236036
At1g80350_supercontig.fasta	2788	236037	238824
At1g80360_supercontig.fasta	8305	238825	247129
At2g01670_supercontig.fasta	3006	247130	250135
At2g03420_supercontig.fasta	3385	250136	253520
At2g04845_supercontig.fasta	2223	253521	255743
At2g06050_supercontig.fasta	5704	255744	261447
At2g15290_supercontig.fasta	5289	261448	266736
At2g16950_supercontig.fasta	3777	266737	270513
At2g17120_supercontig.fasta	3622	270514	274135
At2g23090_supercontig.fasta	3478	274136	277613
At2g25310_supercontig.fasta	14449	277614	292062
At2g26670_supercontig.fasta	8195	292063	300257
At2g26970_supercontig.fasta	5914	300258	306171
At2g27170_supercontig.fasta	2555	306172	308726
At2g27450_supercontig.fasta	6942	308727	315668
At2g27470_supercontig.fasta	2398	315669	318066
At2g27600_supercontig.fasta	10767	318067	328833
At2g27960_supercontig.fasta	3625	328834	332458
At2g30410_supercontig.fasta	2696	332459	335154
At2g31040_supercontig.fasta	9626	335155	344780
At2g32520_supercontig.fasta	5977	344781	350757
At2g33220_supercontig.fasta	4929	350758	355686
At2g36230_supercontig.fasta	6083	355687	361769
At2g36930_supercontig.fasta	2891	361770	364660
At2g38040_supercontig.fasta	11240	364661	375900
At2g39780_supercontig.fasta	3526	375901	379426
At2g40620_supercontig.fasta	4125	379427	383551
At2g41490_supercontig.fasta	18297	383552	401848
At2g44140_supercontig.fasta	5150	401849	406998
At2g45620_supercontig.fasta	5487	406999	412485
At3g02540_supercontig.fasta	4571	412486	417056
At3g03100_supercontig.fasta	8334	417057	425390
At3g04610_supercontig.fasta	2315	425391	427705
At3g05070_supercontig.fasta	3139	427706	430844
At3g06050_supercontig.fasta	10653	430845	441497
At3g07470_supercontig.fasta	9484	441498	450981
At3g09740_supercontig.fasta	6883	450982	457864
